Species,Assembly
Aeorestes cinereus,GCA_011751065.1
Anoura caudifer,GCA_004027475.1
Antrozous pallidus,GCA_007922775.1
Artibeus jamaicensis,GCA_014825515.1
Carollia perspicillata,GCA_004027735.1
Craseonycteris thonglongyai,GCA_004027555.1
Cynopterus brachyotis,GCA_009793145.1
Desmodus rotundus,GCA_002940915.1
Eidolon helvum,GCA_000465285.1
Eonycteris spelaea,GCA_003508835.1
Eptesicus fuscus,broad_1.0_april_2013
Hipposideros armiger,GCF_001890085.1
Hipposideros galeritus,GCA_004027415.1
Lasiurus borealis,GCA_004026805.1
Macroglossus sobrinus,GCA_004027375.1
Macrotus californicus,GCA_007922815.1
Megaderma lyra,GCA_004026885.1
Micronycteris hirsuta,GCA_004026765.1
Miniopterus natalensis,Mnat.v1
Miniopterus schreibersii,GCA_004026525.1
Molossus molossus,GCA_014108415.1
Mormoops blainvillei,GCA_004026545.1
Murina aurata feae,GCA_004026665.1
Myotis brandtii,ASM41265v1
Myotis davidii,bgi_1.1_april_2013
Myotis lucifugus,ensembl_79_Myoluc2.0
Myotis myotis,GCA_014108235.1
Noctilio leporinus,GCA_004026585.1
Nycticeius humeralis,GCA_007922795.1
Phyllostomus discolor,GCA_004115245.1
Pipistrellus kuhlii,GCA_014108245.1
Pipistrellus pipistrellus,GCA_004026625.1
Pteronotus parnellii,ncbi_AWGZ00000000.1
Pteropus alecto,broad_1.0_april_2012
Pteropus giganteus,GCA_902729225.1
Pteropus pselaphon,GCA_014363405.1
Pteropus vampyrus,ensembl_79_pteVam1
Rhinolophus ferrumequinum,ncbi_AWHA00000000.1
Rhinolophus sinicus,GCF_001888835.1
Rousettus aegyptiacus,Raegyp2.0
Rousettus leschenaultii,GCA_015472975.1
Sturnira hondurensis,GCA_014824575.1
Tadarida brasiliensis,GCA_004025005.1
Tonatia saurophila,GCA_004024845.1
