Accession,Host,Species,Genus,Length,Collection_Date,Bat_host
DQ010921.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29147,,N
KY566211.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29337,2016-11,N
KU729220.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28539,10/02/1998,N
KY292377.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29303,2016-10,N
KY063616.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29319,01/07/2016,N
KY063617.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29264,01/07/2016,N
KY063618.2,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,28969,01/07/2016,N
MW030110.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29302,2018-05,N
MW030109.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29332,2018-05,N
MW030108.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29234,2018-05,N
KU215419.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
KU215420.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
KU215421.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29161,2013,N
KU215422.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29262,2013,N
KP143512.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28956,01/01/2013,N
MT239440.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29303,2017-09,N
MT239439.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29347,2016,N
KP143511.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28971,01/01/2013,N
KC175340.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29380,1978,N
KP143510.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28967,01/01/2013,N
KP143509.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28968,01/01/2013,N
KP143508.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28967,01/01/2013,N
KY566210.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29297,2016-11,N
MN165107.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29286,2018-04,N
JN183883.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29222,12/03/2010,N
KY566209.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29440,2016-11,N
KC175341.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29340,1978,N
KC962433.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28580,05/05/2012,N
KF530123.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29123,17/08/2010,N
JQ408980.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29363,,N
JQ408981.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29025,,N
JQ404409.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29462,,N
JQ404410.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29364,,N
JN856008.2,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29271,1976,N
MT906864.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29437,2020,N
MT906865.1,Canis lupus familiaris,Alphacoronavirus 1,Alphacoronavirus,29321,2020,N
KC461237.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29357,2011,N
KC461236.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29357,2011,N
KC461235.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29357,2011,N
MN692770.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28094,30/05/2014,N
KX083668.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28580,2015,N
MG893511.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29298,2012-07,N
KX722529.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,29174,01/01/2015,N
KX722530.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28595,01/02/2015,N
MT576083.1,Sus scrofa,Alphacoronavirus 1,Alphacoronavirus,28571,2016-03,N
MT444152.1,Felis catus,Alphacoronavirus 1,Alphacoronavirus,28506,25/05/2019,N
